no	prompt	slug	status
30	Prompt: A realistic editorial image of a person using grounding techniques during a difficult emotional moment, seated calmly with notebook and water nearby, balanced natural light, practical and hopeful tone, photorealistic.	gestionarea-emotiilor--tehnici-practice-pentru-gestionarea-emotiilor-dificile	done
31	Prompt: A realistic image of a person applying psychology in everyday life, reflecting at a table with notes and a calm focused expression, modern home setting, soft daylight, practical and intelligent mood, photorealistic.	psihologie-practica--ce-este-psihologia-practica-si-cum-o-aplici-in-viata-de-zi-cu-zi	done
32	Prompt: A realistic photo of two adults having a difficult but respectful conversation at a table, serious expressions, calm posture, no aggression, elegant neutral interior, natural light, photorealistic editorial style.	psihologie-practica--conversatii-dificile	done
33	Prompt: A realistic image of a person making a thoughtful decision, reviewing two options in a notebook or on cards, focused expression, clean workspace, soft window light, modern editorial photography, photorealistic.	psihologie-practica--cum-te-ajuta-psihologia-practica-sa-iei-decizii-mai-bune	done
34	Prompt: A realistic couple planning quarterly goals together at a kitchen table, notebooks and calendar open, collaborative mood, modern apartment, warm natural light, relationship teamwork theme, photorealistic.	psihologie-practica--obiective-de-cuplu	done
35	Prompt: A realistic self-improvement planning scene, person organizing a 30-day action plan in a journal, thoughtful and motivated expression, calm desk, natural daylight, editorial lifestyle photo, photorealistic.	psihologie-practica--plan-de-30-de-zile-pentru-aplicarea-psihologiei-practice-in-viata-ta	done
36	Prompt: A realistic warm image of a couple smiling after a small positive moment together, one partner appreciating the other, cozy home setting, soft evening light, healthy relationship theme, photorealistic.	psihologie-practica--recompense-pozitive-in-cuplu	done
37	Prompt: A realistic productivity image showing tiny consistent improvements: a person writing one small goal in a notebook, minimal desk, focused hand detail, natural light, subtle concept of progress, photorealistic.	psihologie-practica--regula-de-2	done
38	Prompt: A realistic conversation-focused image of two people communicating attentively, listening and speaking clearly, open posture, modern neutral interior, natural daylight, practical human connection, photorealistic.	psihologie-practica--tehnici-de-psihologie-practica-pentru-comunicare-eficienta	done
39	Prompt: A realistic couple checking a calendar together to protect quality time, warm home environment, gentle smiles, notebook and planner visible, modern lifestyle photography, photorealistic, no text.	psihologie-practica--time-blocking-in-cuplu	done
40	Prompt: A realistic emotional scene of a woman reflecting alone after relationship rejection, sitting by a window with calm sadness, dignified and grounded mood, soft natural light, modern editorial photography.	cand-un-barbat-nu-te-mai-vrea	done
41	Prompt: A realistic romantic but mature image of a long-term couple sharing a warm moment together at sunset, subtle affection, relaxed body language, elegant natural setting, photorealistic, no text.	cum-sa-mentii-pasiunea-intr-o-relatie-de-lunga-durata	done
42	Prompt: A realistic editorial image of a person healing after a painful breakup, seated alone on a sofa with reflective expression, soft morning light, tasteful interior, emotional realism without melodrama, photorealistic.	cum-sa-treci-peste-o-despartire-dureroasa	done
43	Prompt: A realistic image of a couple in a tense discussion but trying to understand each other, subtle miscommunication visible in body language, warm indoor setting, natural light, photorealistic editorial style.	greseli-frecvente-in-relatiile-de-cuplu-si-cum-sa-le-eviti	done
44	Prompt: A realistic split-emotion relationship scene showing mature calm intimacy rather than dramatic passion, a couple walking together in quiet connection, golden hour light, balanced and grounded mood, photorealistic.	iubirea-matura-vs-indragosteala-pe-intelesul-tuturor	done
45	Prompt: A realistic couple building a relationship improvement plan together, journal, calendar, coffee cups on table, collaborative mood, natural daylight, healthy partnership theme, photorealistic editorial image.	plan-de-30-de-zile-pentru-imbunatatirea-relatiei-de-cuplu	done
46	Prompt: A realistic image of a harmonious couple sharing a calm, affectionate everyday moment at home, relaxed smiles, emotional safety, soft natural light, elegant but ordinary setting, photorealistic.	secretele-unei-relatii-de-cuplu-armonioase	done
